This file was created using the 201712 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199007    ,0.86    ,0.77   ,-0.25    ,0.68
199008  ,-10.82   ,-1.60    ,0.60    ,0.66
199009  ,-11.97    ,1.22    ,0.80    ,0.60
199010    ,9.56   ,-7.38   ,-4.24    ,0.68
199011   ,-3.86    ,1.22    ,1.14    ,0.57
199012    ,1.10   ,-0.79   ,-1.60    ,0.60
199101    ,2.44   ,-2.00    ,0.39    ,0.52
199102    ,9.10    ,2.53    ,0.01    ,0.48
199103   ,-2.37    ,3.04   ,-0.84    ,0.44
199104    ,0.54    ,0.04    ,0.48    ,0.53
199105    ,0.72   ,-0.62    ,0.40    ,0.47
199106   ,-6.09    ,1.35    ,1.04    ,0.42
199107    ,3.43   ,-1.75   ,-0.55    ,0.49
199108   ,-1.35    ,0.26   ,-0.59    ,0.46
199109    ,2.90    ,0.48    ,0.00    ,0.46
199110    ,1.35   ,-0.14   ,-1.42    ,0.42
199111   ,-5.10    ,0.87   ,-1.34    ,0.39
199112    ,6.26   ,-1.95   ,-2.70    ,0.38
199201   ,-2.21    ,3.61    ,3.00    ,0.34
199202   ,-1.93    ,2.24    ,1.88    ,0.28
199203   ,-5.48    ,0.75    ,2.45    ,0.34
199204   ,-0.11   ,-1.76    ,2.59    ,0.32
199205    ,4.13    ,0.25    ,0.66    ,0.28
199206   ,-3.72    ,0.62    ,0.92    ,0.32
199207   ,-0.64   ,-2.33   ,-1.31    ,0.31
199208    ,2.52   ,-2.56   ,-1.71    ,0.26
199209   ,-1.41   ,-0.09   ,-0.96    ,0.26
199210   ,-3.08   ,-0.50   ,-0.35    ,0.23
199211    ,1.78   ,-0.19   ,-1.64    ,0.23
199212    ,0.73    ,1.42    ,0.79    ,0.28
199301    ,0.30    ,1.63    ,3.07    ,0.23
199302    ,1.92   ,-1.17    ,3.44    ,0.22
199303    ,6.73    ,0.38    ,2.00    ,0.25
199304    ,4.43    ,0.68    ,2.80    ,0.24
199305    ,3.13    ,4.46   ,-1.45    ,0.22
199306   ,-2.18   ,-0.93    ,0.41    ,0.25
199307    ,2.30   ,-1.51    ,1.38    ,0.24
199308    ,4.37    ,0.94    ,1.05    ,0.25
199309   ,-2.01    ,1.87    ,0.30    ,0.26
199310    ,1.11   ,-0.42   ,-0.76    ,0.22
199311   ,-6.29    ,1.56   ,-0.18    ,0.25
199312    ,4.08    ,0.21    ,2.30    ,0.23
199401    ,7.32    ,0.50    ,3.17    ,0.25
199402   ,-1.13    ,1.43    ,0.57    ,0.21
199403   ,-3.70    ,0.79    ,1.74    ,0.27
199404    ,2.35   ,-0.10    ,1.15    ,0.27
199405   ,-0.21   ,-1.43    ,1.33    ,0.32
199406    ,0.13   ,-0.63    ,1.28    ,0.31
199407    ,1.08   ,-0.39    ,0.61    ,0.28
199408    ,2.09    ,0.06   ,-1.87    ,0.37
199409   ,-2.84    ,1.84   ,-0.32    ,0.37
199410    ,2.10   ,-1.84   ,-0.13    ,0.38
199411   ,-5.16   ,-0.35   ,-0.31    ,0.37
199412    ,0.76   ,-0.05   ,-0.57    ,0.44
199501   ,-2.35    ,0.20    ,0.29    ,0.42
199502    ,0.59    ,0.38    ,0.34    ,0.40
199503    ,4.25   ,-1.97   ,-1.32    ,0.46
199504    ,2.66   ,-1.21    ,0.08    ,0.45
199505   ,-0.14   ,-0.13    ,0.49    ,0.54
199506   ,-0.07    ,2.04   ,-1.01    ,0.47
199507    ,4.37    ,0.70   ,-1.94    ,0.45
199508   ,-1.82    ,2.16   ,-0.30    ,0.47
199509    ,1.67   ,-1.22   ,-1.28    ,0.43
199510   ,-1.97   ,-1.60   ,-0.22    ,0.47
199511    ,2.63   ,-1.39   ,-0.32    ,0.42
199512    ,2.17    ,0.43    ,0.87    ,0.49
199601    ,1.08   ,-0.08    ,0.69    ,0.43
199602    ,0.61    ,1.28   ,-0.53    ,0.39
199603    ,1.20    ,0.39   ,-0.08    ,0.39
199604    ,2.69    ,3.51   ,-1.22    ,0.46
199605    ,0.10    ,2.24   ,-0.57    ,0.42
199606   ,-0.49   ,-2.55    ,1.44    ,0.40
199607   ,-4.51   ,-2.02    ,2.99    ,0.45
199608    ,0.94    ,1.28   ,-0.68    ,0.41
199609    ,3.18   ,-2.60   ,-0.93    ,0.44
199610   ,-0.48   ,-0.70    ,2.08    ,0.42
199611    ,4.44   ,-3.40    ,1.75    ,0.41
199612   ,-1.76    ,0.81    ,1.08    ,0.46
199701    ,0.04   ,-0.14    ,0.15    ,0.45
199702    ,0.31   ,-1.43    ,2.08    ,0.39
199703   ,-2.78   ,-1.13    ,2.45    ,0.43
199704    ,1.94   ,-4.40   ,-0.41    ,0.43
199705    ,7.00    ,1.82   ,-1.70    ,0.49
199706    ,4.03   ,-1.65    ,0.83    ,0.37
199707    ,3.73   ,-4.52   ,-0.25    ,0.43
199708   ,-5.61    ,5.35    ,0.54    ,0.41
199709    ,4.98   ,-2.12   ,-0.48    ,0.44
199710   ,-5.55    ,0.80    ,1.14    ,0.42
199711    ,0.31   ,-5.75   ,-0.59    ,0.39
199712    ,0.28   ,-3.60    ,2.06    ,0.48
199801    ,1.98   ,-0.27   ,-1.12    ,0.43
199802    ,6.51    ,0.09    ,0.54    ,0.39
199803    ,3.78   ,-0.68    ,2.12    ,0.39
199804    ,0.72    ,0.41   ,-0.16    ,0.43
199805   ,-1.64   ,-0.95    ,1.76    ,0.40
199806    ,1.22   ,-3.78   ,-1.72    ,0.41
199807   ,-1.20   ,-3.32   ,-1.04    ,0.40
199808  ,-14.03   ,-0.86   ,-0.35    ,0.43
199809    ,1.23   ,-0.29   ,-3.09    ,0.46
199810    ,8.14   ,-3.04    ,1.41    ,0.32
199811    ,5.00   ,-0.48   ,-1.31    ,0.31
199812    ,4.35   ,-1.53   ,-3.24    ,0.38
199901    ,1.72   ,-0.11   ,-3.77    ,0.35
199902   ,-3.27   ,-0.85    ,0.23    ,0.35
199903    ,3.56   ,-0.87    ,0.18    ,0.43
199904    ,4.28    ,2.51    ,3.66    ,0.37
199905   ,-3.15    ,2.97    ,0.44    ,0.34
199906    ,4.63    ,3.12   ,-1.65    ,0.40
199907   ,-0.34    ,1.92    ,0.95    ,0.38
199908    ,0.02    ,1.25   ,-1.63    ,0.39
199909   ,-0.61    ,2.15   ,-2.01    ,0.39
199910    ,4.42   ,-4.73   ,-3.97    ,0.39
199911    ,3.63    ,2.17   ,-9.39    ,0.36
199912    ,7.09   ,-1.05   ,-5.73    ,0.44
200001   ,-5.41    ,5.59   ,-1.95    ,0.41
200002    ,2.26   ,10.37   ,-9.54    ,0.43
200003    ,4.76   ,-9.81    ,6.50    ,0.47
200004   ,-5.75   ,-5.25    ,5.09    ,0.46
200005   ,-3.24   ,-1.04    ,5.57    ,0.50
200006    ,3.29    ,4.95   ,-1.41    ,0.40
200007   ,-3.34   ,-2.30    ,5.64    ,0.48
200008    ,4.12    ,0.17   ,-1.44    ,0.50
200009   ,-5.23   ,-0.71    ,6.18    ,0.51
200010   ,-3.50   ,-5.54    ,6.53    ,0.56
200011   ,-7.39   ,-1.57   ,11.61    ,0.51
200012    ,1.40    ,0.71    ,7.32    ,0.50
200101    ,1.82    ,2.51   ,-3.69    ,0.54
200102   ,-8.80    ,2.43   ,11.64    ,0.38
200103   ,-7.75   ,-0.88    ,7.07    ,0.42
200104    ,7.67   ,-0.62   ,-3.27    ,0.39
200105   ,-1.10    ,2.11    ,2.72    ,0.32
200106   ,-2.77    ,1.65    ,3.51    ,0.28
200107   ,-2.57   ,-3.19    ,2.98    ,0.30
200108   ,-4.44    ,2.19    ,3.92    ,0.31
200109   ,-9.98   ,-4.95    ,1.90    ,0.28
200110    ,2.57    ,4.09   ,-5.11    ,0.22
200111    ,5.51   ,-0.67   ,-1.78    ,0.17
200112    ,0.66    ,0.23    ,1.32    ,0.15
200201   ,-3.10    ,1.11    ,1.99    ,0.14
200202   ,-0.72   ,-0.25    ,3.37    ,0.13
200203    ,4.65    ,1.39    ,0.57    ,0.13
200204   ,-2.48    ,3.77    ,5.43    ,0.15
200205    ,0.34    ,0.13    ,3.26    ,0.14
200206   ,-5.45    ,2.05    ,2.23    ,0.13
200207   ,-8.73   ,-1.37   ,-0.04    ,0.15
200208    ,0.22   ,-1.55    ,1.65    ,0.14
200209  ,-10.38    ,2.84    ,0.92    ,0.14
200210    ,5.97   ,-5.03   ,-3.58    ,0.14
200211    ,5.13    ,0.00   ,-0.50    ,0.12
200212   ,-4.25    ,1.84    ,3.42    ,0.11
200301   ,-2.72    ,1.88    ,0.83    ,0.10
200302   ,-1.85    ,0.46    ,1.70    ,0.09
200303   ,-0.37    ,0.48   ,-1.08    ,0.10
200304    ,8.72   ,-0.12   ,-0.71    ,0.10
200305    ,6.56    ,3.14    ,0.64    ,0.09
200306    ,2.05    ,2.00    ,0.80    ,0.10
200307    ,2.19    ,2.21    ,1.55    ,0.07
200308    ,2.72    ,2.74    ,1.33    ,0.07
200309    ,1.33    ,2.80    ,0.02    ,0.08
200310    ,5.86    ,0.82    ,2.48    ,0.07
200311    ,1.67   ,-0.16    ,0.25    ,0.07
200312    ,5.64   ,-1.65    ,0.94    ,0.08
200401    ,2.28    ,2.54    ,1.90    ,0.07
200402    ,1.91   ,-0.01    ,0.64    ,0.06
200403   ,-0.02    ,3.77    ,0.34    ,0.09
200404   ,-2.32   ,-0.54   ,-1.86    ,0.08
200405    ,0.66   ,-1.60    ,0.38    ,0.06
200406    ,2.39    ,2.22    ,0.98    ,0.08
200407   ,-3.80   ,-1.66    ,2.47    ,0.10
200408    ,0.37   ,-0.70    ,1.25    ,0.11
200409    ,2.13    ,1.26    ,0.54    ,0.11
200410    ,2.58    ,0.46    ,0.19    ,0.11
200411    ,5.38    ,2.09    ,1.30    ,0.15
200412    ,3.79    ,0.00    ,0.59    ,0.16
200501   ,-1.93    ,2.04    ,1.40    ,0.16
200502    ,2.98    ,0.39    ,1.33    ,0.16
200503   ,-2.02   ,-0.47    ,1.50    ,0.21
200504   ,-2.60   ,-0.96    ,0.02    ,0.21
200505    ,1.41   ,-0.89   ,-0.07    ,0.24
200506    ,1.22    ,1.86    ,1.62    ,0.23
200507    ,3.54    ,0.95   ,-0.08    ,0.24
200508    ,1.04    ,0.60    ,0.62    ,0.30
200509    ,2.08   ,-0.26    ,0.79    ,0.29
200510   ,-2.68   ,-0.20    ,0.25    ,0.27
200511    ,2.90    ,0.25   ,-0.74    ,0.31
200512    ,2.58    ,2.25   ,-0.48    ,0.32
200601    ,4.52    ,2.71    ,1.13    ,0.35
200602   ,-0.46   ,-0.65    ,1.40    ,0.34
200603    ,2.43    ,1.98    ,0.49    ,0.37
200604    ,2.88    ,0.39    ,1.28    ,0.36
200605   ,-4.12   ,-2.24    ,0.97    ,0.43
200606   ,-0.59   ,-1.66    ,0.29    ,0.40
200607   ,-0.25   ,-2.94    ,2.37    ,0.40
200608    ,2.22    ,0.22   ,-0.78    ,0.42
200609    ,0.59   ,-1.43    ,0.48    ,0.41
200610    ,3.32    ,0.49   ,-0.35    ,0.41
200611    ,2.30    ,0.35    ,0.39    ,0.42
200612    ,1.84   ,-0.19    ,1.28    ,0.40
200701    ,0.93    ,0.94    ,0.12    ,0.44
200702   ,-0.54    ,1.46    ,0.85    ,0.38
200703    ,1.76    ,0.18    ,0.40    ,0.43
200704    ,3.71   ,-0.93    ,0.30    ,0.44
200705    ,2.49   ,-0.87    ,0.57    ,0.41
200706   ,-0.79    ,1.04    ,0.07    ,0.40
200707   ,-2.37    ,0.31   ,-0.98    ,0.40
200708   ,-1.15   ,-3.55   ,-0.40    ,0.42
200709    ,4.43   ,-2.13   ,-1.51    ,0.32
200710    ,3.17    ,0.85   ,-2.66    ,0.32
200711   ,-4.66   ,-3.53   ,-0.63    ,0.34
200712   ,-1.56   ,-0.71    ,0.63    ,0.27
200801   ,-7.85   ,-1.07    ,2.57    ,0.21
200802   ,-0.05    ,2.14   ,-0.83    ,0.13
200803   ,-1.25   ,-0.87    ,1.65    ,0.17
200804    ,4.91   ,-2.83   ,-0.40    ,0.18
200805    ,1.84    ,1.70   ,-1.35    ,0.18
200806   ,-8.05    ,1.21   ,-1.10    ,0.17
200807   ,-2.79   ,-0.39    ,1.94    ,0.15
200808   ,-2.11   ,-0.50    ,0.21    ,0.13
200809  ,-12.26   ,-1.21    ,2.28    ,0.15
200810  ,-19.52   ,-2.82    ,0.05    ,0.08
200811   ,-6.53   ,-0.54   ,-1.58    ,0.03
200812    ,4.43    ,2.27    ,0.37    ,0.00
200901   ,-8.54    ,2.24   ,-4.60    ,0.00
200902   ,-9.93    ,1.07   ,-4.08    ,0.01
200903    ,7.28   ,-1.25   ,-0.12    ,0.02
200904   ,11.41    ,1.63    ,2.67    ,0.01
200905    ,9.96    ,1.63    ,0.00    ,0.00
200906   ,-0.26    ,2.82   ,-1.58    ,0.01
200907    ,8.59   ,-1.33    ,3.86    ,0.01
200908    ,3.96    ,0.73    ,4.86    ,0.01
200909    ,4.44    ,1.65    ,0.42    ,0.01
200910   ,-2.11   ,-0.42   ,-2.15    ,0.00
200911    ,3.63   ,-2.40   ,-1.50    ,0.00
200912    ,1.93    ,0.66    ,0.75    ,0.01
201001   ,-3.74    ,2.61   ,-0.04    ,0.00
201002    ,1.29    ,0.00    ,0.13    ,0.00
201003    ,6.25   ,-0.22    ,3.10    ,0.01
201004    ,0.50    ,3.78    ,0.81    ,0.01
201005   ,-9.54    ,0.13   ,-2.40    ,0.01
201006   ,-3.15    ,0.30   ,-2.70    ,0.01
201007    ,8.21   ,-1.62    ,1.48    ,0.01
201008   ,-3.91   ,-0.21   ,-1.83    ,0.01
201009    ,9.85    ,1.48   ,-1.50    ,0.01
201010    ,3.95   ,-0.04   ,-1.21    ,0.01
201011   ,-2.17    ,2.07   ,-0.65    ,0.01
201012    ,7.62    ,2.01    ,1.83    ,0.01
201101    ,2.12   ,-1.61    ,2.71    ,0.01
201102    ,3.49    ,0.20    ,0.46    ,0.01
201103   ,-0.68    ,1.33   ,-1.61    ,0.01
201104    ,4.46   ,-0.68   ,-1.91    ,0.00
201105   ,-2.11   ,-0.51   ,-1.40    ,0.00
