date,rf
19730102,0.00021
19730103,0.00021
19730104,0.00021
19730105,0.00021
19730108,0.00021
19730109,0.00021
19730110,0.00021
19730111,0.00021
19730112,0.00021
19730115,0.00021
19730116,0.00021
19730117,0.00021
19730118,0.00021
19730119,0.00021
19730122,0.00021
19730123,0.00021
19730124,0.00021
19730126,0.00021
19730129,0.00021
19730130,0.00021
19730131,0.00021
19730201,0.00022
19730202,0.00022
19730205,0.00022
19730206,0.00022
19730207,0.00022
19730208,0.00022
19730209,0.00022
19730212,0.00022
19730213,0.00022
19730214,0.00022
19730215,0.00022
19730216,0.00022
19730220,0.00022
19730221,0.00022
19730222,0.00022
19730223,0.00022
19730226,0.00022
19730227,0.00022
19730228,0.00022
19730301,0.00021
19730302,0.00021
19730305,0.00021
19730306,0.00021
19730307,0.00021
19730308,0.00021
19730309,0.00021
19730312,0.00021
19730313,0.00021
19730314,0.00021
19730315,0.00021
19730316,0.00021
19730319,0.00021
19730320,0.00021
19730321,0.00021
19730322,0.00021
19730323,0.00021
19730326,0.00021
19730327,0.00021
19730328,0.00021
19730329,0.00021
19730330,0.00021
19730402,0.00026
19730403,0.00026
19730404,0.00026
19730405,0.00026
19730406,0.00026
19730409,0.00026
19730410,0.00026
19730411,0.00026
19730412,0.00026
19730413,0.00026
19730416,0.00026
19730417,0.00026
19730418,0.00026
19730419,0.00026
19730423,0.00026
19730424,0.00026
19730425,0.00026
19730426,0.00026
19730427,0.00026
19730430,0.00026
19730501,0.00023
19730502,0.00023
19730503,0.00023
19730504,0.00023
19730507,0.00023
19730508,0.00023
19730509,0.00023
19730510,0.00023
19730511,0.00023
19730514,0.00023
19730515,0.00023
19730516,0.00023
19730517,0.00023
19730518,0.00023
19730521,0.00023
19730522,0.00023
19730523,0.00023
19730524,0.00023
19730525,0.00023
19730529,0.00023
19730530,0.00023
19730531,0.00023
19730601,0.00024
19730604,0.00024
19730605,0.00024
19730606,0.00024
19730607,0.00024
19730608,0.00024
19730611,0.00024
19730612,0.00024
19730613,0.00024
19730614,0.00024
19730615,0.00024
19730618,0.00024
19730619,0.00024
19730620,0.00024
19730621,0.00024
19730622,0.00024
19730625,0.00024
19730626,0.00024
19730627,0.00024
19730628,0.00024
19730629,0.00024
19730702,0.00030
19730703,0.00030
19730705,0.00030
19730706,0.00030
19730709,0.00030
19730710,0.00030
19730711,0.00030
19730712,0.00030
19730713,0.00030
19730716,0.00030
19730717,0.00030
19730718,0.00030
19730719,0.00030
19730720,0.00030
19730723,0.00030
19730724,0.00030
19730725,0.00030
19730726,0.00030
19730727,0.00030
19730730,0.00030
19730731,0.00030
19730801,0.00030
19730802,0.00030
19730803,0.00030
19730806,0.00030
19730807,0.00030
19730808,0.00030
19730809,0.00030
19730810,0.00030
19730813,0.00030
19730814,0.00030
19730815,0.00030
19730816,0.00030
19730817,0.00030
19730820,0.00030
19730821,0.00030
19730822,0.00030
19730823,0.00030
19730824,0.00030
19730827,0.00030
19730828,0.00030
19730829,0.00030
19730830,0.00030
19730831,0.00030
19730904,0.00036
19730905,0.00036
19730906,0.00036
19730907,0.00036
19730910,0.00036
19730911,0.00036
19730912,0.00036
19730913,0.00036
19730914,0.00036
19730917,0.00036
19730918,0.00036
19730919,0.00036
19730920,0.00036
19730921,0.00036
19730924,0.00036
19730925,0.00036
19730926,0.00036
19730927,0.00036
19730928,0.00036
19731001,0.00028
19731002,0.00028
19731003,0.00028
19731004,0.00028
